Running SLURM prolog script on red232.cluster.local
===============================================================================
Job started on Wed Jun 19 15:54:31 BST 2024
Job ID          : 6140878
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red232
Job Output Follows ...
===============================================================================
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2379.57 total_steps 124800 fps 135.75
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2362.90 total_steps 82800 fps 267.30
NStep3DQN_game_NameThisGame NameThisGame avg score 2397.83 total_steps 124800 fps 157.59
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2362.90 total_steps 84000 fps 241.86
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2610.00 total_steps 123600 fps 146.39
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2379.57 total_steps 126000 fps 146.88
NStep3DQN_game_NameThisGame NameThisGame avg score 2406.38 total_steps 126000 fps 148.16
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2372.50 total_steps 85200 fps 246.00
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2610.00 total_steps 124800 fps 144.06
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2372.50 total_steps 86400 fps 254.45
NStep3DQN_game_NameThisGame NameThisGame avg score 2406.38 total_steps 127200 fps 168.80
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2445.21 total_steps 127200 fps 129.43
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2382.12 total_steps 87600 fps 229.20
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2619.55 total_steps 126000 fps 139.12
NStep3DQN_game_NameThisGame NameThisGame avg score 2406.38 total_steps 128400 fps 159.89
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2382.12 total_steps 88800 fps 225.58
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2445.21 total_steps 128400 fps 150.30
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.53 total_steps 90000 fps 222.14
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2619.55 total_steps 127200 fps 150.41
NStep3DQN_game_NameThisGame NameThisGame avg score 2411.04 total_steps 129600 fps 140.10
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2445.21 total_steps 129600 fps 121.56
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.53 total_steps 91200 fps 226.64
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2619.55 total_steps 128400 fps 124.15
NStep3DQN_game_NameThisGame NameThisGame avg score 2393.06 total_steps 130800 fps 134.24
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.53 total_steps 92400 fps 176.45
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2471.43 total_steps 130800 fps 126.74
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2409.14 total_steps 93600 fps 173.16
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2620.00 total_steps 129600 fps 118.16
NStep3DQN_game_NameThisGame NameThisGame avg score 2393.06 total_steps 132000 fps 115.32
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2455.00 total_steps 132000 fps 126.58
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2368.61 total_steps 94800 fps 204.91
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2620.00 total_steps 130800 fps 139.92
NStep3DQN_game_NameThisGame NameThisGame avg score 2380.40 total_steps 133200 fps 157.46
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2368.61 total_steps 96000 fps 197.16
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2455.00 total_steps 133200 fps 123.21
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2620.00 total_steps 132000 fps 132.27
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.78 total_steps 97200 fps 149.88
NStep3DQN_game_NameThisGame NameThisGame avg score 2351.20 total_steps 134400 fps 97.66
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2472.20 total_steps 134400 fps 113.72
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.78 total_steps 98400 fps 158.87
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2639.78 total_steps 133200 fps 103.83
NStep3DQN_game_NameThisGame NameThisGame avg score 2351.20 total_steps 135600 fps 141.16
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2472.20 total_steps 135600 fps 133.23
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.78 total_steps 99600 fps 183.52
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2639.78 total_steps 134400 fps 128.88
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2363.78 total_steps 100800 fps 187.38
NStep3DQN_game_NameThisGame NameThisGame avg score 2338.80 total_steps 136800 fps 115.23
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2467.80 total_steps 136800 fps 124.57
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2402.37 total_steps 102000 fps 171.29
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2631.70 total_steps 135600 fps 133.87
NStep3DQN_game_NameThisGame NameThisGame avg score 2338.80 total_steps 138000 fps 117.03
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2467.80 total_steps 138000 fps 120.04
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2374.10 total_steps 103200 fps 127.20
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2631.70 total_steps 136800 fps 121.01
NStep3DQN_game_NameThisGame NameThisGame avg score 2338.80 total_steps 139200 fps 117.87
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2374.10 total_steps 104400 fps 155.21
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2477.20 total_steps 139200 fps 106.82
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2366.25 total_steps 105600 fps 155.80
NStep3DQN_game_NameThisGame NameThisGame avg score 2338.80 total_steps 140400 fps 97.64
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2631.70 total_steps 138000 fps 73.36
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2477.20 total_steps 140400 fps 116.99
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2366.25 total_steps 106800 fps 140.38
NStep3DQN_game_NameThisGame NameThisGame avg score 2366.40 total_steps 141600 fps 124.84
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2624.38 total_steps 139200 fps 120.03
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2460.40 total_steps 141600 fps 111.56
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2341.95 total_steps 108000 fps 146.35
NStep3DQN_game_NameThisGame NameThisGame avg score 2356.40 total_steps 142800 fps 127.86
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2601.63 total_steps 140400 fps 113.01
